Id,Label,SUID,shared name,name,selected,KEGG_NODE_X,KEGG_NODE_Y,KEGG_NODE_WIDTH,KEGG_NODE_HEIGHT,KEGG_NODE_LABEL,KEGG_NODE_LABEL_LIST_FIRST,KEGG_NODE_LABEL_LIST,KEGG_ID,KEGG_NODE_LABEL_COLOR,KEGG_NODE_FILL_COLOR,KEGG_NODE_REACTIONID,KEGG_NODE_TYPE,KEGG_NODE_SHAPE,KEGG_LINK,KEGG_DEFINITION
457,3-Oxo-OPC4-CoA,457,path:ath00592:41,path:ath00592:41,false,245,700,8,8,C16338,3-Oxo-OPC4-CoA,[C16338],[cpd:C16338],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16338,
454,(+)-7-Isojasmonic acid CoA,454,path:ath00592:40,path:ath00592:40,false,353,700,8,8,C16339,(+)-7-Isojasmonic acid CoA,[C16339],[cpd:C16339],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16339,
451,(+)-7-Isojasmonic acid,451,path:ath00592:39,path:ath00592:39,false,460,700,8,8,C16317,(+)-7-Isojasmonic acid,[C16317],[cpd:C16317],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16317,
448,Jasmonate,448,path:ath00592:38,path:ath00592:38,false,556,700,8,8,C08491,Jasmonate,[C08491],[cpd:C08491],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C08491,
445,(+)-7-Isomethyljasmonate,445,path:ath00592:37,path:ath00592:37,false,460,755,8,8,C16318,(+)-7-Isomethyljasmonate,[C16318],[cpd:C16318],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16318,
442,Methyl jasmonate,442,path:ath00592:36,path:ath00592:36,false,556,755,8,8,C11512,Methyl jasmonate,[C11512],[cpd:C11512],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C11512,
439,LOX3...,439,path:ath00592:35,path:ath00592:35,false,299,484,46,17,LOX3...,LOX3...,[LOX3...],"[ath:AT1G17420, ath:AT1G67560, ath:AT1G72520, ath:AT3G45140]","#000000","#BFFFBF",rn:R07869,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G17420+ath:AT1G67560+ath:AT1G72520+ath:AT3G45140,
436,AOS,436,path:ath00592:34,path:ath00592:34,false,353,524,46,17,AOS,AOS,[AOS],[ath:AT5G42650],"#000000","#BFFFBF",rn:R07863,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G42650,
433,PKT4...,433,path:ath00592:33,path:ath00592:33,false,191,628,46,17,PKT4...,PKT4...,[PKT4...],"[ath:AT1G04710, ath:AT2G33150, ath:AT5G48880]","#000000","#BFFFBF",rn:R07895,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G04710+ath:AT2G33150+ath:AT5G48880,
430,PKT4...,430,path:ath00592:32,path:ath00592:32,false,299,701,46,17,PKT4...,PKT4...,[PKT4...],"[ath:AT1G04710, ath:AT2G33150, ath:AT5G48880]","#000000","#BFFFBF",rn:R07899,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G04710+ath:AT2G33150+ath:AT5G48880,
427,ACX3...,427,path:ath00592:31,path:ath00592:31,false,403,628,46,17,ACX3...,ACX3...,[ACX3...],"[ath:AT1G06290, ath:AT1G06310, ath:AT2G35690, ath:AT3G06690, ath:AT3G51840, ath:AT4G16760, ath:AT5G65110]","#000000","#BFFFBF",rn:R07892,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G06290+ath:AT1G06310+ath:AT2G35690+ath:AT3G06690+ath:AT3G51840+ath:AT4G16760+ath:AT5G65110,
424,ACX3...,424,path:ath00592:30,path:ath00592:30,false,139,661,46,17,ACX3...,ACX3...,[ACX3...],"[ath:AT1G06290, ath:AT1G06310, ath:AT2G35690, ath:AT3G06690, ath:AT3G51840, ath:AT4G16760, ath:AT5G65110]","#000000","#BFFFBF",rn:R07896,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G06290+ath:AT1G06310+ath:AT2G35690+ath:AT3G06690+ath:AT3G51840+ath:AT4G16760+ath:AT5G65110,
421,K10528,421,path:ath00592:29,path:ath00592:29,false,403,484,46,17,K10528,K10528,[K10528],[ko:K10528],"#000000","#FFFFFF",rn:R07870,ortholog,rectangle,https://www.kegg.jp/dbget-bin/www_bget?K10528,
418,MFP2...,418,path:ath00592:28,path:ath00592:28,false,600,628,46,17,MFP2...,MFP2...,[MFP2...],"[ath:AT3G06860, ath:AT4G29010]","#000000","#BFFFBF",rn:R07889 rn:R07890,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT3G06860+ath:AT4G29010,
415,MFP2...,415,path:ath00592:27,path:ath00592:27,false,299,628,46,17,MFP2...,MFP2...,[MFP2...],"[ath:AT3G06860, ath:AT4G29010]","#000000","#BFFFBF",rn:R07893 rn:R07894,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT3G06860+ath:AT4G29010,
412,MFP2...,412,path:ath00592:26,path:ath00592:26,false,191,701,46,17,MFP2...,MFP2...,[MFP2...],"[ath:AT3G06860, ath:AT4G29010]","#000000","#BFFFBF",rn:R07897 rn:R07898,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT3G06860+ath:AT4G29010,
