Id,Label,SUID,shared name,name,selected,KEGG_NODE_X,KEGG_NODE_Y,KEGG_NODE_WIDTH,KEGG_NODE_HEIGHT,KEGG_NODE_LABEL,KEGG_NODE_LABEL_LIST_FIRST,KEGG_NODE_LABEL_LIST,KEGG_ID,KEGG_NODE_LABEL_COLOR,KEGG_NODE_FILL_COLOR,KEGG_NODE_REACTIONID,KEGG_NODE_TYPE,KEGG_NODE_SHAPE,KEGG_LINK,KEGG_DEFINITION
1400,UGT74B1,1400,path:ath00966:84,path:ath00966:84,false,1111,545,1,1,UGT74B1,UGT74B1,[UGT74B1],[ath:AT1G24100],"#66CC66","#FFFFFF",rn:R03213,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G24100," UDP-glucosyl transferase 74B1 [KO:K11820] [EC:2.4.1.195]"
1397,CYP83B1,1397,path:ath00966:83,path:ath00966:83,false,1003,545,1,1,CYP83B1,CYP83B1,[CYP83B1],[ath:AT4G31500],"#66CC66","#FFFFFF",rn:R10670,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT4G31500," cytochrome P450, family 83, subfamily B, polypeptide 1 [KO:K11818] [EC:1.14.14.45]"
1394,SOT16,1394,path:ath00966:82,path:ath00966:82,false,1165,545,1,1,SOT16,SOT16,[SOT16],[ath:AT1G74100],"#66CC66","#FFFFFF",rn:R03214,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G74100," sulfotransferase 16 [KO:K11821] [EC:2.8.2.24]"
1391,SUR1,1391,path:ath00966:81,path:ath00966:81,false,1057,545,1,1,SUR1,SUR1,[SUR1],[ath:AT2G20610],"#66CC66","#FFFFFF",rn:R08654,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT2G20610," Tyrosine transaminase family protein [KO:K11819] [EC:4.4.1.-]"
1388,CYP79A2,1388,path:ath00966:80,path:ath00966:80,false,949,545,1,1,CYP79A2...,CYP79A2,[CYP79A2...],"[ath:AT5G05260, ath:AT5G35917]","#66CC66","#FFFFFF",rn:R09578,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G05260+ath:AT5G35917," phenylalanine N-monooxygenase-like protein [KO:K12153] [EC:1.14.14.40]"
1385,Glucotropeolin,1385,path:ath00966:79,path:ath00966:79,false,1193,545,8,8,C02153,Glucotropeolin,[C02153],[cpd:C02153],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C02153,
1382,L-Phenylalanine,1382,path:ath00966:78,path:ath00966:78,false,923,545,8,8,C00079,L-Phenylalanine,[C00079],[cpd:C00079],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C00079,
1379,8-Methylthiooctyl glucosinolate,1379,path:ath00966:77,path:ath00966:77,false,561,877,8,8,C17254,8-Methylthiooctyl glucosinolate,[C17254],[cpd:C17254],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C17254,
1376,7-Methylthioheptyl glucosinolate,1376,path:ath00966:76,path:ath00966:76,false,561,760,8,8,C17252,7-Methylthioheptyl glucosinolate,[C17252],[cpd:C17252],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C17252,
1373,Glucolesquerellin,1373,path:ath00966:75,path:ath00966:75,false,561,643,8,8,C17250,Glucolesquerellin,[C17250],[cpd:C17250],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C17250,
1370,Glucoberteroin,1370,path:ath00966:74,path:ath00966:74,false,561,526,8,8,C08401,Glucoberteroin,[C08401],[cpd:C08401],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C08401,
